_id,School Name,Enrolled population,DTP* coverage rate (%),DTP Religious exemption rate (%),MMR† coverage rate (%),MMR Religious exemption rate (%)
1,A Y JACKSON SECONDARY SCHOOL ,1070.0,91.0,1.0,95.7,1.0
2,ACADÉMIE ALEXANDRE-DUMAS ,110.0,88.2,1.8,90.0,1.8
3,ADAM BECK JUNIOR PUBLIC SCHOOL ,247.0,91.9,3.6,94.3,3.6
4,AFRICENTRIC ALTERNATIVE SCHOOL ,66.0,71.2,19.7,72.7,19.7
5,AGINCOURT COLLEGIATE INSTITUTE ,1253.0,90.7,1.0,97.8,1.0
6,AGINCOURT JUNIOR PUBLIC SCHOOL ,109.0,98.2,0.0,98.2,0.0
7,AGNES MACPHAIL PUBLIC SCHOOL ,180.0,95.6,0.0,97.8,0.0
8,ALBERT CAMPBELL COLLEGIATE INSTITUTE ,1154.0,89.2,0.3,95.0,0.3
9,ALBION HEIGHTS JUNIOR MIDDLE SCHOOL ,262.0,95.4,0.8,95.4,1.1
10,ALEXANDER MUIR/GLADSTONE AVE JUNIOR AND SENIOR PUBLIC SCHOOL ,280.0,90.4,1.8,93.6,1.8
11,ALEXANDER STIRLING PUBLIC SCHOOL ,229.0,84.7,0.9,91.3,0.9
12,ALEXMUIR JUNIOR PUBLIC SCHOOL ,179.0,91.6,0.6,95.5,0.6
13,ALL SAINTS CATHOLIC SCHOOL ,559.0,93.7,3.6,94.6,3.6
14,ALLENBY JUNIOR PUBLIC SCHOOL ,409.0,90.2,2.2,94.9,2.2
15,ALPHA ALTERNATIVE JUNIOR SCHOOL ,36.0,69.4,27.8,69.4,27.8
16,ALPHA II ALTERNATIVE SCHOOL ,19.0,57.9,21.1,68.4,21.1
17,ALTERNATIVE SCARBOROUGH EDUCATION 1 ,70.0,87.1,1.4,97.1,0.0
18,ALVIN CURLING PUBLIC SCHOOL ,317.0,94.6,1.3,96.2,1.3
19,AMESBURY MIDDLE SCHOOL ,268.0,88.4,1.1,93.3,1.1
20,ANCASTER PUBLIC SCHOOL ,48.0,97.9,0.0,95.8,0.0
21,ANNETTE STREET JUNIOR AND SENIOR PUBLIC SCHOOL ,335.0,90.7,2.4,93.1,2.4
22,ANNUNCIATION CATHOLIC SCHOOL ,216.0,93.1,2.3,93.1,2.3
23,ANSON PARK PUBLIC SCHOOL ,131.0,92.4,0.8,92.4,0.8
24,ANSON S TAYLOR JUNIOR PUBLIC SCHOOL ,103.0,97.1,0.0,98.1,0.0
25,ARBOR GLEN PUBLIC SCHOOL ,138.0,97.8,1.4,97.1,1.4
26,ARMOUR HEIGHTS PUBLIC SCHOOL ,144.0,94.4,3.5,92.4,3.5
27,AVONDALE ALTERNATIVE ELEMENTARY SCHOOL ,80.0,90.0,6.3,92.5,6.3
28,AVONDALE PUBLIC SCHOOL ,195.0,91.3,1.5,91.8,1.5
29,AVONDALE SECONDARY ALTERNATIVE SCHOOL ,49.0,69.4,2.0,91.8,2.0
30,BALA AVENUE COMMUNITY SCHOOL ,108.0,93.5,0.0,96.3,0.0
31,BALMY BEACH COMMUNITY SCHOOL ,207.0,94.2,3.4,96.6,3.4
32,BANNOCKBURN SCHOOL ,43.0,79.1,2.3,90.7,2.3
33,BANTING AND BEST PUBLIC SCHOOL ,186.0,91.9,0.0,93.0,0.0
34,BAYCREST PUBLIC SCHOOL ,61.0,91.8,4.9,90.2,4.9
35,BAYVIEW MIDDLE SCHOOL ,453.0,90.3,0.4,90.3,0.4
36,BEACHES ALTERNATIVE JUNIOR SCHOOL ,34.0,82.4,17.6,82.4,17.6
37,BEAUMONDE HEIGHTS JUNIOR MIDDLE SCHOOL ,378.0,92.6,0.3,93.4,0.3
38,BEDFORD PARK PUBLIC SCHOOL ,474.0,91.4,2.3,93.9,2.3
39,BELLMERE JUNIOR PUBLIC SCHOOL ,193.0,89.1,1.0,88.1,1.0
40,BEN HEPPNER VOCAL MUSIC ACADEMY ,45.0,84.4,11.1,84.4,11.1
41,BENDALE BUSINESS & TECHNICAL INSTITUTE ,324.0,88.6,2.5,96.3,2.5
