id,School_name,,Enrolled_pop,DTP_coverage_rate,DTP_religious_exemption_rate,MMR_coverage_rate,MMR_religious_exemption_rate
147,DA VINCI SCHOOL ,,34,55.9,44.1,55.9,44.1
15,ALPHA ALTERNATIVE JUNIOR SCHOOL ,,36,69.4,27.8,69.4,27.8
739,THE GROVE COMMUNITY SCHOOL ,,58,75.9,24.1,75.9,24.1
231,EQUINOX HOLISTIC ALTERNATIVE SCHOOL ,,112,77.7,22.3,77.7,22.3
16,ALPHA II ALTERNATIVE SCHOOL ,,19,57.9,21.1,68.4,21.1
126,CITY VIEW ALTERNATIVE SENIOR SCHOOL ,,54,77.8,20.4,77.8,20.4
4,AFRICENTRIC ALTERNATIVE SCHOOL ,,66,71.2,19.7,72.7,19.7
36,BEACHES ALTERNATIVE JUNIOR SCHOOL ,,34,82.4,17.6,82.4,17.6
311,HIGH PARK ALTERNATIVE SCHOOL JUNIOR ,,76,84.2,15.8,84.2,15.8
40,BEN HEPPNER VOCAL MUSIC ACADEMY ,,45,84.4,11.1,84.4,11.1
160,DELTA SENIOR ALTERNATIVE SCHOOL ,,60,88.3,10,88.3,10
254,FIRST NATIONS SCHOOL OF TORONTO ,,130,69.2,9.2,74.6,10
435,MILL VALLEY JUNIOR SCHOOL ,,60,90,10,90,10
726,SUBWAY ACADEMY I ,,44,79.5,9.1,90.9,9.1
125,CITY SCHOOL ,,104,77.9,8.7,89.4,8.7
297,GUILDWOOD JUNIOR PUBLIC SCHOOL ,,58,89.7,8.6,89.7,8.6
120,CHILDREN'S GARDEN JUNIOR SCHOOL ,,59,52.5,8.5,64.4,8.5
374,JOSYF CARDINAL SLIPYJ CATHOLIC SCHOOL ,,357,86.6,8.4,86.8,8.4
546,ROSEDALE HEIGHTS SCHOOL OF THE ARTS ,,1062,83.1,8.4,89.3,8.4
572,SHIRLEY STREET JUNIOR PUBLIC SCHOOL ,,83,91.6,8.4,91.6,8.4
344,INGLENOOK COMMUNITY SCHOOL ,,72,77.8,6.9,90.3,8.3
588,SPECTRUM ALTERNATIVE SENIOR SCHOOL ,,60,91.7,8.3,91.7,8.3
482,OASIS ALTERNATIVE ,,97,78.4,8.2,88.7,8.2
376,KAREN KAIN SCHOOL OF THE ARTS ,,172,89,8.1,90.7,8.1
659,ST JOSAPHAT CATHOLIC SCHOOL ,,90,83.3,7.8,82.2,7.8
104,CENTRAL ETOBICOKE HIGH SCHOOL ,,104,81.7,7.7,91.3,7.7
176,DOWNTOWN ALTERNATIVE SCHOOL ,,52,92.3,7.7,90.4,7.7
526,QUEST ALTERNATIVE SCHOOL SENIOR ,,66,87.9,7.6,90.9,7.6
331,HORIZON ALTERNATIVE SENIOR SCHOOL ,,67,91,7.5,91,7.5
118,CHESTER LE JUNIOR PUBLIC SCHOOL ,,70,87.1,7.1,90,7.1
753,TWENTIETH STREET JUNIOR SCHOOL ,,71,87.3,7,87.3,7
763,WARREN PARK JUNIOR PUBLIC SCHOOL ,,87,85.1,6.9,86.2,6.9
675,ST MARK CATHOLIC SCHOOL ,,120,90.8,6.7,89.2,6.7
626,ST DEMETRIUS CATHOLIC SCHOOL ,,166,86.1,6.6,90.4,6.6
141,COURCELETTE PUBLIC SCHOOL ,,188,89.4,6.4,91.5,6.4
177,DOWNTOWN VOCAL MUSIC ACADEMY OF TORONTO ,,47,87.2,6.4,89.4,6.4
27,AVONDALE ALTERNATIVE ELEMENTARY SCHOOL ,,80,90,6.3,92.5,6.3
164,DEWSON STREET JUNIOR PUBLIC SCHOOL ,,243,88.5,6.2,90.9,6.2
334,HUMBER VALLEY VILLAGE JUNIOR MIDDLE SCHOOL ,,252,88.1,6,88.9,6
273,GEORGE P MACKIE JUNIOR PUBLIC SCHOOL ,,68,92.6,5.9,92.6,5.9
450,MOUNTVIEW ALTERNATIVE SCHOOL JUNIOR ,,51,92.2,5.9,92.2,5.9
197,ECOLE ELEMENTAIRE FELIX-LECLERC ,,104,86.5,5.8,87.5,5.8
607,ST BARTHOLOMEW CATHOLIC SCHOOL ,,52,94.2,5.8,94.2,5.8
114,CHARLOTTETOWN JUNIOR PUBLIC SCHOOL ,,210,90,5.7,91.9,5.7
200,EOLE ELEMENTAIRE LA MOSAIQUE ,,212,90.6,6.1,92,5.7
223,ELIZABETH SIMCOE JUNIOR PUBLIC SCHOOL ,,175,90.9,5.7,93.7,5.7
549,ROSETHORN JUNIOR SCHOOL ,,183,94,5.5,94,5.5
766,WEST END ALTERNATIVE SCHOOL ,,73,76.7,5.5,90.4,5.5
121,CHINE DRIVE PUBLIC SCHOOL ,,92,93.5,5.4,93.5,5.4
615,ST BRUNO / ST RAYMOND CATHOLIC SCHOOL ,,149,85.9,6,87.2,5.4
410,LUCY MCCORMICK SENIOR SCHOOL ,,57,33.3,5.3,80.7,5.3
78,BROADLANDS PUBLIC SCHOOL ,,248,92.7,5.2,92.7,5.2
343,INDIAN ROAD CRESCENT JUNIOR PUBLIC SCHOOL ,,174,89.1,5.2,90.8,5.2
354,JACKMAN AVENUE JUNIOR PUBLIC SCHOOL ,,315,88.6,4.8,90.5,5.1
797,WINONA DRIVE SENIOR PUBLIC SCHOOL ,,414,92.5,5.1,94,5.1
418,MAPLE LEAF PUBLIC SCHOOL ,,140,86.4,5,89.3,5
457,NATIVE LEARNING CENTRE ,,20,65,5,80,5
773,WEST ROUGE JUNIOR PUBLIC SCHOOL ,,160,87.5,5,89.4,5
34,BAYCREST PUBLIC SCHOOL ,,61,91.8,4.9,90.2,4.9
332,HOWARD JUNIOR PUBLIC SCHOOL ,,267,87.6,4.9,88.4,4.9
340,HURON STREET JUNIOR PUBLIC SCHOOL ,,163,89.6,4.9,93.3,4.9
134,COLLEGE FRANCAIS SECONDAIRE ,,165,86.1,4.8,89.1,4.8
239,ETOBICOKE SCHOOL OF THE ARTS ,,939,82.5,4.8,93.1,4.8
154,DAVID HORNELL JUNIOR SCHOOL ,,106,88.7,4.7,87.7,4.7
377,KEELE STREET JUNIOR PUBLIC SCHOOL ,,295,84.7,4.7,87.5,4.7
499,PALMERSTON AVENUE JUNIOR PUBLIC SCHOOL ,,212,92,4.7,91,4.7
569,SEVENTH STREET JUNIOR SCHOOL ,,86,93,4.7,93,4.7
357,JAMES S BELL JUNIOR MIDDLE SCHOOL ,,283,92.9,4.6,91.2,4.6
595,ST AMBROSE CATHOLIC SCHOOL ,,219,90.9,4.6,92.7,4.6
116,CHEROKEE PUBLIC SCHOOL ,,88,92,4.5,90.9,4.5
165,DIEFENBAKER ELEMENTARY SCHOOL ,,199,92,4.5,93.5,4.5
221,EIC SAINT-FRERE-ANDRE,,110,88.2,4.5,93.6,4.5
511,PERTH AVENUE JUNIOR PUBLIC SCHOOL ,,134,85.8,4.5,87.3,4.5
577,SIR ADAM BECK JUNIOR SCHOOL ,,178,92.7,4.5,93.8,4.5
249,FAYWOOD ARTS-BASED CURRICULUM SCHOOL ,,274,90.5,4.4,89.4,4.4
162,DENNIS AVENUE COMMUNITY SCHOOL ,,47,87.2,4.3,89.4,4.3
263,FRANKLAND COMMUNITY SCHOOL ,,187,89.3,4.3,91.4,4.3
305,HAWTHORNE II BILINGUAL ALTERNATIVE JUNIOR SCHOOL ,,94,95.7,4.3,94.7,4.3
417,MANHATTAN PARK JUNIOR PUBLIC SCHOOL ,,47,93.6,4.3,93.6,4.3
186,EARL BEATTY JUNIOR AND SENIOR PUBLIC SCHOOL ,,212,91,4.2,92.5,4.2
338,HUMEWOOD COMMUNITY SCHOOL ,,331,89.7,4.2,91.8,4.2
430,MCMURRICH JUNIOR PUBLIC SCHOOL ,,288,89.6,4.2,90.3,4.2
477,NORWAY JUNIOR PUBLIC SCHOOL ,,142,89.4,4.2,95.1,4.2
616,ST CATHERINE CATHOLIC SCHOOL ,,71,84.5,4.2,87.3,4.2
754,URSULA FRANKLIN ACADEMY ,,525,87.8,4.2,95,4.2
365,JOHN FISHER JUNIOR PUBLIC SCHOOL ,,220,93.2,4.1,94.1,4.1
487,OSSINGTON/OLD ORCHARD JUNIOR PUBLIC SCHOOL ,,148,88.5,4.1,91.2,4.1
742,THE WATERFRONT SCHOOL ,,121,81.8,4.1,86.8,4.1
236,ESSEX JUNIOR AND SENIOR PUBLIC SCHOOL ,,176,88.1,4,90.9,4
364,JOHN ENGLISH JUNIOR MIDDLE SCHOOL ,,626,94.2,4,94.7,4
394,LANOR JUNIOR MIDDLE SCHOOL ,,199,91,4,92.5,4
521,PRESTEIGN HEIGHTS ELEMENTARY SCHOOL ,,101,94.1,4,93.1,4
564,SEED ALTERNATIVE ,,75,80,4,93.3,4
280,GIVINS/SHAW JUNIOR PUBLIC SCHOOL ,,155,88.4,3.9,89,3.9
405,LORD LANSDOWNE JUNIOR PUBLIC SCHOOL ,,128,93.8,3.9,94.5,3.9
627,ST DENIS CATHOLIC SCHOOL ,,179,94.4,3.9,94.4,3.9
648,ST IGNATIUS OF LOYOLA CATHOLIC SCHOOL ,,76,94.7,3.9,92.1,3.9
735,TERRAVIEW-WILLOWFIELD PUBLIC SCHOOL ,,178,93.8,3.9,93.3,3.9
767,WEST GLEN JUNIOR SCHOOL ,,77,90.9,5.2,90.9,3.9
252,FINCH PUBLIC SCHOOL ,,105,91.4,3.8,92.4,3.8
282,GLEDHILL JUNIOR PUBLIC SCHOOL ,,186,90.3,3.8,93,3.8
288,GORDON A BROWN MIDDLE SCHOOL ,,372,86.3,3.8,88.7,3.8
293,GREENLAND PUBLIC SCHOOL ,,53,94.3,3.8,94.3,3.8
538,RIVERCREST JUNIOR SCHOOL ,,80,93.8,3.8,93.8,3.8
568,SENECA SCHOOL ,,53,88.7,3.8,90.6,3.8
730,SUNNYLEA JUNIOR SCHOOL ,,133,93.2,3.8,93.2,3.8
789,WILLIAM J MCCORDIC SCHOOL ,,52,46.2,3.8,88.5,3.8
198,ECOLE ELEMENTAIRE GABRIELLE-ROY ,,135,91.1,3.7,90.4,3.7
269,GENERAL MERCER JUNIOR PUBLIC SCHOOL ,,108,89.8,3.7,89.8,3.7
380,KENSINGTON COMMUNITY SCHOOL ,,82,95.1,3.7,93.9,3.7
508,PAULINE JUNIOR PUBLIC SCHOOL ,,134,87.3,3.7,87.3,3.7
702,ST SEBASTIAN CATHOLIC SCHOOL ,,136,94.9,3.7,94.9,3.7
772,WEST PREPARATORY JUNIOR PUBLIC SCHOOL ,,273,86.1,3.7,90.8,3.7
774,WESTERN TECHNICAL & COMMERCIAL SCHOOL ,,1068,82.5,3.7,92.6,3.7
3,ADAM BECK JUNIOR PUBLIC SCHOOL ,,247,91.9,3.6,94.3,3.6
13,ALL SAINTS CATHOLIC SCHOOL ,,559,93.7,3.6,94.6,3.6
47,BEVERLEY SCHOOL ,,55,87.3,3.6,89.1,3.6
348,ISLAND PUBLIC/NATURAL SCIENCE SCHOOL ,,112,94.6,3.6,94.6,3.6
419,MAPLEWOOD HIGH SCHOOL ,,112,88.4,4.5,95.5,3.6
26,ARMOUR HEIGHTS PUBLIC SCHOOL ,,144,94.4,3.5,92.4,3.5
77,BROADACRES JUNIOR PUBLIC SCHOOL ,,202,92.6,3.5,92.6,3.5
133,COLLEGE FRANCAIS ELEMENTAIRE ,,115,71.3,3.5,76.5,3.5
411,LYNNGATE JUNIOR PUBLIC SCHOOL ,,86,96.5,3.5,95.3,3.5
464,NORMAN INGRAM PUBLIC SCHOOL ,,85,94.1,3.5,96.5,3.5
492,OUR LADY OF PEACE CATHOLIC SCHOOL ,,399,93.5,3.5,95,3.5
729,SUNNY VIEW JUNIOR AND SENIOR PUBLIC SCHOOL ,,57,89.5,3.5,87.7,3.5
786,WILLIAM BURGESS ELEMENTARY SCHOOL ,,143,93,3.5,91.6,3.5
31,BALMY BEACH COMMUNITY SCHOOL ,,207,94.2,3.4,96.6,3.4
79,BROCK PUBLIC SCHOOL ,,177,85.3,3.4,90.4,3.4
92,CALICO PUBLIC SCHOOL ,,147,76.2,3.4,78.2,3.4
106,CENTRAL TORONTO ACADEMY ,,587,78.4,3.4,84.2,3.4
367,JOHN G DIEFENBAKER PUBLIC SCHOOL ,,145,93.8,3.4,95.2,3.4
474,NORTHERN SECONDARY SCHOOL ,,1697,87.8,3.5,95.2,3.4
497,OUR LADY OF WISDOM CATHOLIC SCHOOL ,,205,95.1,3.4,93.7,3.4
639,ST FRANCIS OF ASSISI CATHOLIC SCHOOL ,,117,92.3,3.4,96.6,3.4
713,ST VINCENT DE PAUL CATHOLIC SCHOOL ,,208,94.2,3.4,92.3,3.4
788,WILLIAM G MILLER JUNIOR PUBLIC SCHOOL ,,325,90.5,3.4,93.8,3.4
143,CRESTHAVEN PUBLIC SCHOOL ,,151,96,3.3,94.7,3.3
224,ELKHORN PUBLIC SCHOOL ,,180,89.4,3.3,92.8,3.3
247,FATHER JOHN REDMOND CATHOLIC SECONDARY SCHOOL ,,1229,84.5,3.3,93.1,3.3
360,JESSE KETCHUM JUNIOR AND SENIOR PUBLIC SCHOOL ,,304,79.9,3.3,83.9,3.3
481,OAKWOOD COLLEGIATE INSTITUTE ,,399,86.7,3.3,94.5,3.3
731,SWANSEA JUNIOR AND SENIOR PUBLIC SCHOOL ,,553,96.2,3.3,96.4,3.3
56,BLANTYRE PUBLIC SCHOOL ,,157,91.7,3.2,93.6,3.2
159,DELPHI SECONDARY ALTERNATIVE SCHOOL ,,93,83.9,3.2,94.6,3.2
190,EAST ALTERNATIVE SCHOOL OF TORONTO ,,62,93.5,3.2,96.8,3.2
214,ECOLE SAINTE-MARGUERITE-D'YOUVILLE ,,222,95.5,3.2,93.7,3.2
318,HILLCREST COMMUNITY SCHOOL ,,185,88.1,3.2,89.7,3.2
384,KING GEORGE JUNIOR PUBLIC SCHOOL ,,93,94.6,3.2,96.8,3.2
391,LAMBTON KINGSWAY JUNIOR MIDDLE SCHOOL ,,401,93.8,3.7,95.3,3.2
415,MALVERN COLLEGIATE INSTITUTE ,,1114,88.4,3.2,96.1,3.2
539,RIVERDALE COLLEGIATE INSTITUTE ,,1206,89.6,3.2,95.9,3.2
803,YORK HUMBER HIGH SCHOOL ,,154,89,3.2,94.8,3.2
70,BOWMORE ROAD JUNIOR AND SENIOR PUBLIC SCHOOL ,,607,94.2,3.3,95.7,3.1
74,BRIARCREST JUNIOR SCHOOL ,,162,92,3.7,92.6,3.1
136,CORDELLA JUNIOR PUBLIC SCHOOL ,,64,92.2,3.1,93.8,3.1
158,DEER PARK JUNIOR AND SENIOR PUBLIC SCHOOL ,,355,85.9,3.1,87.9,3.1
161,DENLOW PUBLIC SCHOOL ,,225,96,3.6,96,3.1
188,EARL HAIG PUBLIC SCHOOL ,,295,93.6,3.1,95.3,3.1
284,GLEN PARK PUBLIC SCHOOL ,,254,90.9,3.1,94.1,3.1
301,HARBORD COLLEGIATE INSTITUTE ,,1016,87.6,3.1,95.9,3.1
468,NORTH BENDALE JUNIOR PUBLIC SCHOOL ,,64,90.6,3.1,95.3,3.1
503,PARKDALE JUNIOR AND SENIOR PUBLIC SCHOOL ,,286,84.6,3.1,85.7,3.1
565,SELWYN ELEMENTARY SCHOOL ,,128,95.3,3.1,96.1,3.1
645,ST GREGORY CATHOLIC SCHOOL ,,458,95,3.1,94.5,3.1
